PRIM_STATE,H_MEAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,21.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,33.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,38.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,31.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,31.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,28.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,33.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,35.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,30.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,34.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,52.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,40.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,39.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,32.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,39.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,64.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,53.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,40.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,30.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,46.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,31.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,28.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,32.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,21.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,20.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,25.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,32.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,19.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,44.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,22.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,25.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,25.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,35.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,27.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,22.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,26.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,22.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,21.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,20.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,24.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
